,base,equity,message,realised_pnl,total_commission,unrealised_pnl
2010-05-12,1000000.0,999998.0,MTM,0,2.0,0.0
2010-05-13,1000000.0,982683.9669584244,MTM,0,2.0,-17314.033041575545
2010-05-14,1000000.0,956208.3045897855,MTM,0,2.0,-43789.6954102145
2010-05-17,1000000.0,957741.232717337,MTM,0,2.0,-42256.76728266304
2010-05-18,1000000.0,938103.5236033926,MTM,0,2.0,-61894.476396607315
2010-05-19,1000000.0,931107.3908284535,MTM,0,2.0,-68890.60917154649
2010-05-20,1000000.0,878228.6932496924,MTM,0,2.0,-121769.3067503076
2010-05-21,1000000.0,897817.8346015536,MTM,0,2.0,-102180.1653984464
2010-05-24,1000000.0,880735.204430923,MTM,0,2.0,-119262.79556907703
2010-05-25,1000000.0,881197.5636370344,MTM,0,2.0,-118800.43636296561
2010-05-26,1000000.0,873797.818772689,MTM,-126198.18122731106,4.0,-0.0
2010-05-27,1000000.0,840921.645158819,MTM,-126198.18122731106,4.0,-32876.173613869905
2010-05-28,1000000.0,853703.1664157079,MTM,-126198.18122731106,4.0,-20094.652356981045
2010-06-01,1000000.0,871213.4186353834,MTM,-126198.18122731106,4.0,-2584.400137305653
2010-06-02,1000000.0,845303.9235564328,MTM,-126198.18122731106,4.0,-28493.895216256187
2010-06-03,1000000.0,841137.1075030838,MTM,-126198.18122731106,4.0,-32660.711269605166
2010-06-04,1000000.0,876672.4347573852,MTM,-126198.18122731106,4.0,2874.6159846961523
2010-06-07,1000000.0,890165.608277836,MTM,-126198.18122731106,4.0,16367.789505147015
2010-06-08,1000000.0,879369.1950290657,MTM,-126198.18122731106,4.0,5571.376256376696
2010-06-09,1000000.0,885277.7668625035,MTM,-126198.18122731106,4.0,11479.948089814525
2010-06-10,1000000.0,856109.7099036246,MTM,-126198.18122731106,4.0,-17688.10886906436
2010-06-11,1000000.0,851652.5628289487,MTM,-126198.18122731106,4.0,-22145.255943740303
2010-06-14,1000000.0,853497.1914074278,MTM,-126198.18122731106,4.0,-20300.62736526117
2010-06-15,1000000.0,829526.0540184247,MTM,-126198.18122731106,4.0,-44271.76475426423
2010-06-16,1000000.0,830106.6008871422,MTM,-126198.18122731106,4.0,-43691.21788554677
2010-06-17,1000000.0,828767.5362627552,MTM,-126198.18122731106,4.0,-45030.282509933764
2010-06-18,1000000.0,827391.0944186186,MTM,-126198.18122731106,4.0,-46406.72435407033
2010-06-21,1000000.0,831426.9193146862,MTM,-126198.18122731106,4.0,-42370.89945800279
2010-06-22,1000000.0,848178.5395411289,MTM,-126198.18122731106,4.0,-25619.279231560035
2010-06-23,1000000.0,851240.4995111987,MTM,-126198.18122731106,4.0,-22557.319261490302
2010-06-24,1000000.0,868423.0444261709,MTM,-126198.18122731106,4.0,-5374.774346518075
2010-06-25,1000000.0,865548.3132675383,MTM,-126198.18122731106,4.0,-8249.50550515069
2010-06-28,1000000.0,867599.0310918606,MTM,-126198.18122731106,4.0,-6198.787680828329
2010-06-29,1000000.0,898808.3176027039,MTM,-126198.18122731106,4.0,25010.49883001495
2010-06-30,1000000.0,908668.3573827891,MTM,-126198.18122731106,4.0,34870.53861010012
2010-07-01,1000000.0,911795.8129314996,MTM,-126198.18122731106,4.0,37997.99415881057
2010-07-02,1000000.0,916281.0212462851,MTM,-126198.18122731106,4.0,42483.202473596124
2010-07-06,1000000.0,911149.655310205,MTM,-126198.18122731106,4.0,37351.83653751593
2010-07-07,1000000.0,880989.1024024216,MTM,-126198.18122731106,4.0,7191.283629732686
2010-07-08,1000000.0,871644.1139124132,MTM,-126198.18122731106,4.0,-2153.704860275746
2010-07-09,1000000.0,864424.710987416,MTM,-126198.18122731106,4.0,-9373.10778527295
2010-07-12,1000000.0,863684.9394285895,MTM,-126198.18122731106,4.0,-10112.879344099474
2010-07-13,1000000.0,848150.5354198009,MTM,-126198.18122731106,4.0,-25647.283352888087
2010-07-14,1000000.0,848309.6458723468,MTM,-126198.18122731106,4.0,-25488.17290034213
2010-07-15,1000000.0,847083.0565562712,MTM,-126198.18122731106,4.0,-26714.762216417774
